entropy_weights: [1, 0]
entropy_weights: [0.987181236743927, 0.012818763256073]
entropy_weights: [0.9741093413190904, 0.025890658680909596]
entropy_weights: [0.9610374458942539, 0.03896255410574619]
entropy_weights: [0.9479655504694173, 0.05203444953058279]
entropy_weights: [0.9348936550445808, 0.06510634495541939]
entropy_weights: [0.9218217596197442, 0.07817824038025599]
entropy_weights: [0.9087498641949077, 0.09125013580509259]
entropy_weights: [0.8956779687700711, 0.10432203122992918]
entropy_weights: [0.8826060733452346, 0.11739392665476578]
entropy_weights: [0.869534177920398, 0.1304658220796024]
entropy_weights: [0.8564622824955614, 0.143537717504439]
entropy_weights: [0.8433903870707249, 0.1566096129292756]
entropy_weights: [0.8303184916458883, 0.16968150835411222]
entropy_weights: [0.8172465962210518, 0.18275340377894883]
entropy_weights: [0.8041747007962152, 0.19582529920378544]
entropy_weights: [0.7911028053713787, 0.20889719462862205]
entropy_weights: [0.7780309099465421, 0.22196909005345866]
entropy_weights: [0.7192073805347774, 0.2807926194652234]
entropy_weights: [0.6603838511230127, 0.3396161488769881]
entropy_weights: [0.601560321711248, 0.3984396782887528]
entropy_weights: [0.5427367922994832, 0.45726320770051754]
entropy_weights: [0.5296648968746467, 0.47033510312535415]
entropy_weights: [0.31264973487168424, 0.6873502651283167]
entropy_weights: [0.2995778394468476, 0.7004221605531532]
entropy_weights: [0.286505944022011, 0.7134940559779898]
entropy_weights: [0.08384554364121563, 0.9161544563587851]
entropy_weights: [0.025022014229450912, 0.9749779857705498]
entropy_weights: [0.011950118804614314, 0.9880498811953864]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
entropy_weights: [0.8, 0.19999999999999996]
entropy_weights: [0.7636363636363637, 0.23636363636363633]
entropy_weights: [0.7270561941336567, 0.27294380586634326]
entropy_weights: [0.6821000230266799, 0.31789997697332006]
entropy_weights: [0.6366454775721345, 0.36335452242786553]
entropy_weights: [0.5911909321175891, 0.408809067882411]
entropy_weights: [0.5457363866630437, 0.4542636133369565]
entropy_weights: [0.5002818412084983, 0.49971815879150194]
entropy_weights: [0.4548272957539528, 0.5451727042460474]
entropy_weights: [0.40937275029940734, 0.5906272497005928]
entropy_weights: [0.36391820484486187, 0.6360817951551382]
entropy_weights: [0.3184636593903164, 0.6815363406096836]
entropy_weights: [0.27300911393577093, 0.726990886064229]
entropy_weights: [0.22755456848122546, 0.7724454315187744]
entropy_weights: [0.18210002302668, 0.8178999769733198]
entropy_weights: [0.13664547757213452, 0.8633545224278653]
entropy_weights: [0.09119093211758907, 0.9088090678824107]
entropy_weights: [0.04573638666304361, 0.9542636133369561]
entropy_weights: [0.0002818412084981542, 0.9997181587915015]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
entropy_weights: [0.8, 0.19999999999999996]
entropy_weights: [0.7475409836065574, 0.2524590163934426]
entropy_weights: [0.6950819672131148, 0.30491803278688523]
entropy_weights: [0.6426229508196721, 0.35737704918032787]
entropy_weights: [0.5901639344262295, 0.4098360655737705]
entropy_weights: [0.5377049180327869, 0.46229508196721314]
entropy_weights: [0.4852459016393442, 0.5147540983606558]
entropy_weights: [0.42931929595472695, 0.570680704045273]
entropy_weights: [0.37005332659904505, 0.6299466734009549]
entropy_weights: [0.30616949657335046, 0.6938305034266494]
entropy_weights: [0.24059572608154717, 0.7594042739184527]
entropy_weights: [0.17502195558974387, 0.8249780444102559]
entropy_weights: [0.10944818509794059, 0.8905518149020591]
entropy_weights: [0.04387441460613731, 0.9561255853938624]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
entropy_weights: [0.8, 0.19999999999999996]
entropy_weights: [0.7238095238095239, 0.27619047619047615]
entropy_weights: [0.6476190476190478, 0.35238095238095235]
entropy_weights: [0.5714285714285716, 0.42857142857142855]
entropy_weights: [0.4952380952380954, 0.5047619047619047]
entropy_weights: [0.4190476190476192, 0.5809523809523809]
entropy_weights: [0.342857142857143, 0.657142857142857]
entropy_weights: [0.26666666666666683, 0.7333333333333332]
entropy_weights: [0.19047619047619063, 0.8095238095238093]
entropy_weights: [0.11428571428571443, 0.8857142857142855]
entropy_weights: [0.03809523809523824, 0.9619047619047616]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
entropy_weights: [0.8, 0.19999999999999996]
entropy_weights: [0.6896551724137931, 0.31034482758620685]
entropy_weights: [0.5793103448275863, 0.42068965517241375]
entropy_weights: [0.46896551724137936, 0.5310344827586206]
entropy_weights: [0.35862068965517246, 0.6413793103448275]
entropy_weights: [0.24827586206896557, 0.7517241379310344]
entropy_weights: [0.13793103448275867, 0.8620689655172413]
entropy_weights: [0.027586206896551765, 0.9724137931034482]
entropy_weights: [0.01, 1]
entropy_weights: [0.8, 0.19999999999999996]
entropy_weights: [0.64, 0.36]
entropy_weights: [0.48, 0.52]
entropy_weights: [0.31999999999999995, 0.68]
entropy_weights: [0.15999999999999995, 0.8400000000000001]
entropy_weights: [0.01, 1.0]
entropy_weights: [0.01, 1]
entropy_weights: [0.8, 0.19999999999999996]
entropy_weights: [0.5538461538461539, 0.4461538461538461]
entropy_weights: [0.3076923076923077, 0.6923076923076923]
entropy_weights: [0.06153846153846154, 0.9384615384615385]
entropy_weights: [0.8, 0.19999999999999996]
entropy_weights: [0.4444444444444445, 0.5555555555555556]
entropy_weights: [0.0888888888888889, 0.9111111111111112]
entropy_weights: [0.8, 0.19999999999999996]
entropy_weights: [0.2666666666666667, 0.7333333333333333]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
entropy_weights: [0.01, 1]
